Site,Total No. of registers
Morelia Hive 1,433
Morelia Hive 2,184

Morelia Hive 1
Week, No. of registers
Week 1,57
Week 2,133
Week 3,128
Week 4,115

Morelia Hive 2
Week, No. of registers
Week 1,8
Week 2,45
Week 3,66
Week 4,65


Morelia Hive 1
Bee,Week 1,Week 2,Week 3,Week 4,Week 5,Installation Date
870020100100104300000208,,,,7,4,Week 4
870020100100104300000215,,,,1,,Week 4
870020100100104300000108,,,,8,23,Week 4
870020100100104300000068,,10,44,35,,Week 2
870020100100104300000130,,,,2,20,Week 4
870020100100104300000146,,,,2,,Week 4
870020100100104300000145,,,,10,,Week 4
870020100100104300000165,,,6,,,Week 3
870020100100104300000063,,10,14,,,Week 2
870020100100104300000062,,2,,,,Week 2
870020100100104300000029,,1,,,,Week 1
870020100100104300000162,,,4,,,Week 3
870020100100104300000053,,6,4,,,Week 2
870020100100104300000223,,,,1,,Week 4
870020100100104300000188,,,4,17,,Week 3
870020100100104300000189,,,7,,,Week 3
870020100100104300000077,,,9,30,16,Week 2
870020100100104300000075,,11,12,,,Week 2
870020100100104300000137,,,,,1,Week 4
870020100100104300000055,,3,,,,Week 2
870020100100104300000212,,,,5,41,Week 4
870020100100104300000213,,,,,3,Week 4
870020100100104300000079,,1,,,,Week 2
870020100100104300000155,,,1,,,Week 3
870020100100104300000157,,,12,,,Week 3
870020100100104300000156,,,1,,,Week 3
870020100100104300000203,,,,4,,Week 4
870020100100104300000153,,,10,,,Week 3
870020100100104300000112,,,,3,,Week 4
870020100100104300000024,,5,5,,,Week 1
870020100100104300000234,,,,,7,Week 4
870020100100104300000235,,,,3,,Week 4
870020100100104300000090,,8,,,,Week 2
Morelia Hive 2
Bee,Week 1,Week 2,Week 3,Week 4,Week 5,Installation Date
870020100200104300000231,,,,,3,Week 4
870020100200104300000119,,,10,6,,Week 3
870020100200104300000234,,,,2,,Week 4
870020100200104300000116,,,,2,,Week 3
870020100200104300000222,,,,2,,Week 4
870020100200104300000213,,,,1,2,Week 4
870020100200104300000189,,,,1,14,Week 4
870020100200104300000201,,,,1,,Week 4
870020100200104300000136,,,,1,6,Week 3
870020100200104300000072,,2,20,,,Week 2
870020100200104300000077,,3,3,,,Week 2
870020100200104300000170,,,,14,,Week 4
870020100200104300000176,,,,,14,Week 4
870020100200104300000054,,,,,8,Week 2
870020100200104300000204,,,,3,2,Week 4
870020100200104300000223,,,,2,,Week 4
870020100200104300000203,,,,3,3,Week 4
870020100100104300000071,,2,,,,foreign bee
870020100200104300000228,,,,1,,Week 4
870020100200104300000031,,,,7,,Week 1
870020100200104300000208,,,,1,,Week 4
870020100200104300000053,,1,,,,Week 2
870020100200104300000187,,,,1,,Week 4
870020100200104300000246,,,,1,,Week 4
870020100200104300000244,,,,1,,Week 4
870020100200104300000080,,,,6,,Week 2
870020100200104300000014,,,,1,,Week 1
870020100200104300000125,,,5,,,Week 3
870020100200104300000145,,,5,,,Week 3
870020100200104300000066,,,1,,,Week 2
870020100200104300000151,,,,4,11,Week 4
870020100200104300000167,,,,1,,Week 4
870020100200104300000045,,,,4,2,Week 1
870020100200104300000129,,,1,,,Week 3
