Site,Total No. of Bees
Morelia Hive 1,32
Morelia Hive 2,34

Morelia Hive 1
Week, No. of bees
Week 1,15
Week 2,35
Week 3,30
Week 4,29
Week 5,22

Morelia Hive 2
Week, No. of bees
Week 1,5
Week 2,14
Week 3,27
Week 4,18
Week 5,7


Morelia Hive 1
Bee,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Installation Date
870020100100104300000208,,,,1,1,,Week 4
870020100100104300000108,,,,2,6,3,Week 4
870020100100104300000068,,2,7,7,,,Week 2
870020100100104300000130,,,,1,7,5,Week 4
870020100100104300000146,,,,1,,,Week 4
870020100100104300000145,,,,1,,,Week 4
870020100100104300000165,,,2,,,,Week 3
870020100100104300000063,,2,4,,,,Week 2
870020100100104300000062,,1,,,,,Week 2
870020100100104300000029,,1,,,,,Week 1
870020100100104300000162,,,2,,,,Week 3
870020100100104300000053,,2,1,,,,Week 2
870020100100104300000223,,,,1,,,Week 4
870020100100104300000188,,,1,3,,,Week 3
870020100100104300000189,,,2,,,,Week 3
870020100100104300000077,,,4,7,2,,Week 2
870020100100104300000075,,2,3,,,,Week 2
870020100100104300000137,,,,,1,,Week 4
870020100100104300000055,,1,,,,,Week 2
870020100100104300000212,,,,1,7,5,Week 4
870020100100104300000213,,,,,2,4,Week 4
870020100100104300000215,,,,1,,,Week 4
870020100100104300000155,,,1,,,,Week 3
870020100100104300000157,,,2,,,,Week 3
870020100100104300000156,,,1,,,,Week 3
870020100100104300000203,,,,1,,,Week 4
870020100100104300000153,,,3,,,,Week 3
870020100100104300000112,,,,1,,,Week 4
870020100100104300000024,,2,2,,,,Week 1
870020100100104300000234,,,,,3,5,Week 4
870020100100104300000235,,,,2,,,Week 4
870020100100104300000090,,2,,,,,Week 2
Morelia Hive 2
Bee,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Installation Date
870020100200104300000231,,,,,1,,Week 4
870020100200104300000119,,,2,3,,,Week 3
870020100200104300000234,,,,1,,,Week 4
870020100200104300000116,,,,1,,,Week 3
870020100200104300000222,,,,1,,,Week 4
870020100200104300000213,,,,1,1,,Week 4
870020100200104300000217,,,,,,1,Week 4
870020100200104300000189,,,,1,3,2,Week 4
870020100200104300000201,,,,1,,,Week 4
870020100200104300000136,,,,1,1,,Week 3
870020100200104300000072,,1,6,,,,Week 2
870020100200104300000077,,2,1,,,,Week 2
870020100200104300000170,,,,2,,,Week 4
870020100200104300000176,,,,,3,3,Week 4
870020100200104300000054,,,,,2,,Week 2
870020100200104300000204,,,,1,1,,Week 4
870020100200104300000223,,,,1,,,Week 4
870020100200104300000203,,,,2,2,,Week 4
870020100100104300000071,,1,,,,,foreign bee
870020100200104300000031,,,,2,,,Week 1
870020100200104300000053,,1,,,,,Week 2
870020100200104300000187,,,,1,,,Week 4
870020100200104300000246,,,,1,,,Week 4
870020100200104300000244,,,,1,,,Week 4
870020100200104300000080,,,,2,,,Week 2
870020100200104300000014,,,,1,,,Week 1
870020100200104300000125,,,2,,,,Week 3
870020100200104300000145,,,1,,,,Week 3
870020100200104300000046,,,,,,1,Week 1
870020100200104300000066,,,1,,,,Week 2
870020100200104300000151,,,,1,3,,Week 4
870020100200104300000167,,,,1,,,Week 4
870020100200104300000045,,,,1,1,,Week 1
870020100200104300000129,,,1,,,,Week 3
