Site,Total No. of registers
Morelia Hive 2,520
Morelia Hive 1,692

Morelia Hive 2
Week, No. of registers
Week 1,120
Week 2,139
Week 3,176
Week 4,76
Week 5,9

Morelia Hive 1
Week, No. of registers
Week 1,193
Week 2,177
Week 3,147
Week 4,68
Week 5,107


Morelia Hive 2
Bee,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Installation Date
870020100200104300000116,,,,2,,,Week 3
870020100200104300000170,,,,29,,,Week 4
870020100200104300000176,,,,4,,11471,Week 4
870020100200104300000031,,,,10,,,Week 1
870020100200104300000080,,,,7,,,Week 2
870020100200104300000014,,,,1,,,Week 1
870020100200104300000213,,,,1,2,,Week 4
870020100200104300000246,,,,1,,,Week 4
870020100200104300000136,,,,2,6,,Week 3
870020100200104300000244,,,,1,,,Week 4
870020100200104300000228,,,,2,,,Week 4
870020100200104300000187,,,,1,,,Week 4
870020100200104300000204,,,,,93,,Week 4
870020100200104300000231,,,,,3,,Week 4
870020100200104300000234,,,,6,,,Week 4
870020100200104300000201,,,,2,,,Week 4
870020100200104300000203,,,,6,3,,Week 4
870020100200104300000208,,,,8,,,Week 4
870020100200104300000167,,,,1,,,Week 4
870020100200104300000160,,,,,,3,Week 4
870020100200104300000243,,,,,,1,Week 4
870020100200104300000046,,,,,,4,Week 1
870020100200104300000189,,,,,,3275,Week 4
870020100200104300000217,,,,,,14,Week 4
870020100200104300000151,,,,,3410,,Week 4
870020100200104300000054,,,,,18,,Week 2
870020100200104300000045,,,,6,2,,Week 1
870020100200104300000119,,,,711,,,Week 3
870020100200104300000072,,,452,,,,Week 2
870020100200104300000125,,,5,,,,Week 3
870020100200104300000065,,,,,1,,Week 2
870020100200104300000077,,,34,,,,Week 2
870020100200104300000066,,,1,,,,Week 2
870020100200104300000114,,,,1,,,Week 3
870020100200104300000222,,,,2,,,Week 4
870020100200104300000223,,,,2,,,Week 4
870020100200104300000129,,,2,,,,Week 3
870020100200104300000145,,,9,,,,Week 3
870020100100104300000071,,2,,,,,foreign bee
870020100200104300000053,,1,,,,,Week 2
Morelia Hive 1
Bee,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Installation Date
870020100100104300000077,,,11,42,23,,Week 2
870020100100104300000068,,,5211,,50,,Week 2
870020100100104300000165,,,14,,,,Week 3
870020100100104300000157,,,19,,,,Week 3
870020100100104300000189,,,23,,,,Week 3
870020100100104300000156,,,6,,,,Week 3
870020100100104300000153,,,13,,,,Week 3
870020100100104300000162,,,4,,,,Week 3
870020100100104300000155,,,4,,,,Week 3
870020100100104300000188,,,,236,,,Week 3
870020100100104300000075,,14,14,,,,Week 2
870020100100104300000053,,8,4,,,,Week 2
870020100100104300000090,,9,,,,,Week 2
870020100100104300000063,,10,18,,,,Week 2
870020100100104300000024,,6,5,,,,Week 1
870020100100104300000079,,1,,,,,Week 2
870020100100104300000029,,1,,,,,Week 1
870020100100104300000234,,,,,,218,Week 4
870020100100104300000130,,,,,,24264,Week 4
870020100100104300000212,,,,,,39487,Week 4
870020100100104300000213,,,,,,137,Week 4
870020100100104300000108,,,,,,109,25Week 4
870020100100104300000055,,3,,,,,Week 2
870020100100104300000145,,,,12,,,Week 4
870020100100104300000208,,,,,87,,Week 4
870020100100104300000137,,,,1,2,,Week 4
870020100100104300000235,,,,9,,,Week 4
870020100100104300000146,,,,4,,,Week 4
870020100100104300000223,,,,1,,,Week 4
870020100100104300000071,,1,,,,,Week 2
870020100100104300000062,,4,,,,,Week 2
870020100100104300000215,,,,1,,,Week 4
870020100100104300000112,,,,3,,,Week 4
870020100100104300000203,,,,4,,,Week 4
