Morelia Hive 1
ID, Date, Time 
870020100100104300000208,2016-07-25,14:57:28,2016-07-23
870020100100104300000112,2016-07-23,16:07:27,2016-07-23
870020100100104300000108,2016-08-05,19:04:47,2016-07-23
870020100100104300000068,2016-07-24,12:33:07,2016-07-08
870020100100104300000053,2016-07-12,15:28:32,2016-07-08
870020100100104300000146,2016-07-24,16:10:03,2016-07-23
870020100100104300000023,2016-07-02,12:12:50,2016-07-01
870020100100104300000145,2016-07-25,08:53:45,2016-07-23
870020100100104300000061,2016-07-13,16:18:28,2016-07-08
870020100100104300000165,2016-07-16,14:12:28,2016-07-15
870020100100104300000005,2016-07-10,13:28:32,2016-07-01
870020100100104300000004,2016-07-03,10:24:46,2016-07-01
870020100100104300000029,2016-07-16,16:22:53,2016-07-01
870020100100104300000064,2016-07-08,10:20:37,2016-07-08
870020100100104300000162,2016-07-17,15:07:36,2016-07-15
870020100100104300000055,2016-07-09,16:06:05,2016-07-08
870020100100104300000062,2016-07-08,18:58:18,2016-07-08
870020100100104300000095,2016-07-08,17:59:37,2016-07-08
870020100200104300000137,2016-07-15,14:41:31,foreign bee
870020100100104300000223,2016-07-24,13:05:50,2016-07-23
870020100100104300000082,2016-07-09,08:22:20,2016-07-08
870020100100104300000188,2016-07-21,12:32:58,2016-07-15
870020100100104300000189,2016-07-16,18:56:48,2016-07-15
870020100100104300000063,2016-07-14,14:25:23,2016-07-08
870020100100104300000077,2016-07-26,12:04:44,2016-07-08
870020100100104300000130,2016-08-05,09:26:41,2016-07-23
870020100100104300000137,2016-07-27,12:23:31,2016-07-23
870020100100104300000081,2016-07-10,13:35:53,2016-07-08
870020100100104300000056,2016-07-08,11:09:51,2016-07-08
870020100100104300000071,2016-07-08,14:58:58,2016-07-08
870020100100104300000212,2016-08-05,15:01:57,2016-07-23
870020100100104300000213,2016-08-05,09:58:23,2016-07-23
870020100100104300000220,2016-07-23,12:04:47,2016-07-23
870020100100104300000079,2016-07-10,13:01:29,2016-07-08
