Site,Total No. of registers
Morelia Hive 1,393
Morelia Hive 2,143

Morelia Hive 1
Week, No. of registers
Week 1,52
Week 2,115
Week 3,121
Week 4,105

Morelia Hive 2
Week, No. of registers
Week 1,7
Week 2,39
Week 3,51
Week 4,46


Morelia Hive 1
Bee,Week 1,Week 2,Week 3,Week 4,Week 5,Installation Date
870020100100104300000208,,,,7,3,Week 4
870020100100104300000108,,,,7,22,Week 4
870020100100104300000068,,8,41,34,,Week 2
870020100100104300000130,,,,2,18,Week 4
870020100100104300000146,,,,2,,Week 4
870020100100104300000145,,,,9,,Week 4
870020100100104300000165,,,5,,,Week 3
870020100100104300000063,,9,13,,,Week 2
870020100100104300000062,,2,,,,Week 2
870020100100104300000029,,1,,,,Week 1
870020100100104300000162,,,3,,,Week 3
870020100100104300000053,,5,3,,,Week 2
870020100100104300000223,,,,1,,Week 4
870020100100104300000188,,,3,15,,Week 3
870020100100104300000189,,,6,,,Week 3
870020100100104300000077,,,9,29,15,Week 2
870020100100104300000075,,11,10,,,Week 2
870020100100104300000137,,,,,1,Week 4
870020100100104300000055,,3,,,,Week 2
870020100100104300000212,,,,5,36,Week 4
870020100100104300000213,,,,,3,Week 4
870020100100104300000215,,,,1,,Week 4
870020100100104300000155,,,1,,,Week 3
870020100100104300000157,,,7,,,Week 3
870020100100104300000156,,,1,,,Week 3
870020100100104300000203,,,,3,,Week 4
870020100100104300000153,,,9,,,Week 3
870020100100104300000112,,,,3,,Week 4
870020100100104300000024,,5,4,,,Week 1
870020100100104300000234,,,,,7,Week 4
870020100100104300000235,,,,3,,Week 4
870020100100104300000090,,8,,,,Week 2
Morelia Hive 2
Bee,Week 1,Week 2,Week 3,Week 4,Week 5,Installation Date
870020100200104300000231,,,,,3,Week 4
870020100200104300000119,,,10,6,,Week 3
870020100200104300000234,,,,2,,Week 4
870020100200104300000116,,,,2,,Week 3
870020100200104300000222,,,,1,,Week 4
870020100200104300000213,,,,1,2,Week 4
870020100200104300000189,,,,1,12,Week 4
870020100200104300000201,,,,1,,Week 4
870020100200104300000136,,,,1,4,Week 3
870020100200104300000072,,2,15,,,Week 2
870020100200104300000077,,3,3,,,Week 2
870020100200104300000170,,,,8,,Week 4
870020100200104300000176,,,,,5,Week 4
870020100200104300000054,,,,,5,Week 2
870020100200104300000204,,,,1,2,Week 4
870020100200104300000223,,,,2,,Week 4
870020100200104300000203,,,,3,3,Week 4
870020100100104300000071,,1,,,,foreign bee
870020100200104300000031,,,,6,,Week 1
870020100200104300000053,,1,,,,Week 2
870020100200104300000187,,,,1,,Week 4
870020100200104300000246,,,,1,,Week 4
870020100200104300000244,,,,1,,Week 4
870020100200104300000080,,,,5,,Week 2
870020100200104300000014,,,,1,,Week 1
870020100200104300000125,,,5,,,Week 3
870020100200104300000145,,,4,,,Week 3
870020100200104300000066,,,1,,,Week 2
870020100200104300000151,,,,2,8,Week 4
870020100200104300000167,,,,1,,Week 4
870020100200104300000045,,,,4,2,Week 1
870020100200104300000129,,,1,,,Week 3
