Site,Total No. of registers
Morelia Hive 1,583
Morelia Hive 2,379

Morelia Hive 1
Week, No. of registers
Week 1,68
Week 2,192
Week 3,176
Week 4,147

Morelia Hive 2
Week, No. of registers
Week 1,9
Week 2,76
Week 3,119
Week 4,175


Morelia Hive 1
Bee,Week 1,Week 2,Week 3,Week 4,Installation Date
870020100100104300000208,,,,7,8Week 4
870020100100104300000215,,,,1,Week 4
870020100100104300000108,,,,9,25Week 4
870020100100104300000068,,11,52,50,Week 2
870020100100104300000130,,,,4,26Week 4
870020100100104300000146,,,,4,Week 4
870020100100104300000145,,,,12,Week 4
870020100100104300000165,,,14,,Week 3
870020100100104300000063,,10,18,,Week 2
870020100100104300000062,,4,,,Week 2
870020100100104300000029,,1,,,Week 1
870020100100104300000162,,,4,,Week 3
870020100100104300000053,,8,4,,Week 2
870020100100104300000223,,,,1,Week 4
870020100100104300000188,,,6,23,Week 3
870020100100104300000189,,,23,,Week 3
870020100100104300000077,,,10,42,23Week 2
870020100100104300000075,,14,14,,Week 2
870020100100104300000137,,,,1,2Week 4
870020100100104300000055,,3,,,Week 2
870020100100104300000071,,1,,,Week 2
870020100100104300000212,,,,7,48Week 4
870020100100104300000213,,,,,7Week 4
870020100100104300000079,,1,,,Week 2
870020100100104300000155,,,4,,Week 3
870020100100104300000157,,,19,,Week 3
870020100100104300000156,,,6,,Week 3
870020100100104300000203,,,,4,Week 4
870020100100104300000153,,,13,,Week 3
870020100100104300000112,,,,3,Week 4
870020100100104300000024,,6,5,,Week 1
870020100100104300000234,,,,,8Week 4
870020100100104300000235,,,,8,Week 4
870020100100104300000090,,9,,,Week 2
Morelia Hive 2
Bee,Week 1,Week 2,Week 3,Week 4,Installation Date
870020100200104300000231,,,,,3Week 4
870020100200104300000119,,,11,6,Week 3
870020100200104300000234,,,,6,Week 4
870020100200104300000116,,,,2,Week 3
870020100200104300000222,,,,2,Week 4
870020100200104300000114,,,,1,Week 3
870020100200104300000213,,,,1,2Week 4
870020100200104300000189,,,,5,27Week 4
870020100200104300000201,,,,2,Week 4
870020100200104300000136,,,,2,6Week 3
870020100200104300000072,,2,45,,Week 2
870020100200104300000077,,4,3,,Week 2
870020100200104300000170,,,,29,Week 4
870020100200104300000176,,,,4,71Week 4
870020100200104300000151,,,,10,34Week 4
870020100200104300000204,,,,3,9Week 4
870020100200104300000223,,,,2,Week 4
870020100200104300000203,,,,6,3Week 4
870020100100104300000071,,2,,,foreign bee
870020100200104300000228,,,,2,Week 4
870020100200104300000031,,,,10,Week 1
870020100200104300000208,,,,8,Week 4
870020100200104300000053,,1,,,Week 2
870020100200104300000187,,,,1,Week 4
870020100200104300000246,,,,1,Week 4
870020100200104300000244,,,,1,Week 4
870020100200104300000080,,,,7,Week 2
870020100200104300000065,,,,,1Week 2
870020100200104300000014,,,,1,Week 1
870020100200104300000125,,,5,,Week 3
870020100200104300000145,,,9,,Week 3
870020100200104300000066,,,1,,Week 2
870020100200104300000054,,,,,17Week 2
870020100200104300000167,,,,1,Week 4
870020100200104300000045,,,,6,2Week 1
870020100200104300000129,,,2,,Week 3
