Site,Total No. of Bees
Morelia Hive 2,61
Morelia Hive 1,51

Morelia Hive 2
Day, No. of Bees
2016-07-01,2
2016-07-03,1
2016-07-04,1
2016-07-08,4
2016-07-09,5
2016-07-10,1
2016-07-11,2
2016-07-12,2
2016-07-13,1
2016-07-14,2
2016-07-15,4
2016-07-16,3
2016-07-17,3
2016-07-18,1
2016-07-19,1
2016-07-20,2
2016-07-22,1
2016-07-23,27
2016-07-24,28
2016-07-25,12
2016-07-26,13
2016-07-27,7
2016-07-28,3
2016-07-29,1
2016-07-30,2
2016-07-31,4
2016-08-01,4
2016-08-02,6
2016-08-03,6
2016-08-04,4
2016-08-05,3
Morelia Hive 1
Day, No. of Bees
2016-07-02,1
2016-07-03,1
2016-07-08,8
2016-07-09,11
2016-07-10,10
2016-07-11,7
2016-07-12,5
2016-07-13,7
2016-07-14,4
2016-07-15,14
2016-07-16,11
2016-07-17,5
2016-07-18,3
2016-07-19,3
2016-07-20,3
2016-07-21,3
2016-07-22,2
2016-07-23,16
2016-07-24,12
2016-07-25,8
2016-07-26,7
2016-07-27,5
2016-07-28,5
2016-07-29,6
2016-07-30,4
2016-07-31,4
2016-08-01,5
2016-08-02,5
2016-08-03,5
2016-08-04,5
2016-08-05,5

Morelia Hive 2
Week, No. of bees
Week 1,60
Week 2,42
Week 3,23
Week 4,17
Week 5,11
Week 6,3

Morelia Hive 1
Week, No. of bees
Week 1,53
Week 2,42
Week 3,29
Week 4,39
Week 5,2
Week 6,25


Morelia Hive 2
Bee,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Installation Date
870020100200104300000168,,,,1,,,Week 4
870020100200104300000116,,,,2,2,,Week 3
870020100200104300000192,,,,1,,,Week 4
870020100200104300000170,,,,2,,,Week 4
870020100200104300000176,,,,2,,57,Week 4
870020100200104300000197,,,,2,,,Week 4
870020100200104300000031,,,,2,,,Week 1
870020100200104300000032,,,,1,,,Week 1
870020100200104300000080,,,,2,1,,Week 2
870020100200104300000014,,,,2,,,Week 1
870020100200104300000213,,,,2,2,,Week 4
870020100200104300000246,,,,1,,,Week 4
870020100200104300000136,,,,2,2,,Week 3
870020100200104300000126,,,,1,,,Week 3
870020100200104300000244,,,,1,,,Week 4
870020100200104300000219,,,,1,,,Week 4
870020100200104300000228,,,,1,1,,Week 4
870020100200104300000187,,,,2,,,Week 4
870020100200104300000204,,,,2,3,,Week 4
870020100200104300000231,,,,2,2,,Week 4
870020100200104300000234,,,,2,,,Week 4
870020100200104300000067,,,,1,,,Week 2
870020100200104300000201,,,,2,,,Week 4
870020100200104300000203,,,,2,2,,Week 4
870020100200104300000208,,,,2,,,Week 4
870020100200104300000167,,,,2,,,Week 4
870020100200104300000177,,,,1,,,Week 4
870020100200104300000160,,,,,,52,Week 4
870020100200104300000243,,,,,,31,Week 4
870020100200104300000046,,,,,,2,Week 1
870020100200104300000189,,,,,,341,Week 4
870020100200104300000217,,,,,,3,Week 4
870020100200104300000151,,,,,5,11,Week 4
870020100200104300000054,,,,,2,,Week 2
870020100200104300000045,,,,,21,,Week 1
870020100200104300000111,,,,,13,,Week 3
870020100200104300000119,,,,33,,,Week 3
870020100200104300000072,,,71,,,,Week 2
870020100200104300000125,,,2,,,,Week 3
581DA6D102E2400018C114DC,,,,,,1,foreign bee
224297892000000000000000,,,,,1,,foreign bee
186A286E4CAC37867C5961DC,,,,,1,,foreign bee
870020100200104300000065,,,,,11,,Week 2
870020100200104300000077,,,23,,,,Week 2
870020100200104300000036,,11,,,,,Week 1
870020100200104300000010,1,,,,,,Week 1
870020100200104300000002,1,,,,,,Week 1
870020100200104300000066,,,1,,,,Week 2
870020100200104300000083,,2,,,,,Week 2
870020100100104300000062,,1,,,,,foreign bee
870020100200104300000114,,,,1,,,Week 3
870020100200104300000222,,,,1,,,Week 4
870020100200104300000128,,,,1,,,Week 3
870020100200104300000223,,,,1,,,Week 4
830020100200104100000087,,,,1,,,foreign bee
870020100200104300000178,,,,1,,,Week 4
870020100200104300000129,,,1,,,,Week 3
870020100200104300000145,,,1,,,,Week 3
870020100100104300000071,,1,,,,,foreign bee
870020100200104300000053,,1,,,,,Week 2
870020100200104300000074,,1,,,,,Week 2
Morelia Hive 1
Bee,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Installation Date
870020100100104300000077,,,6,71,,,2Week 2
870020100100104300000068,,,72,,7,,Week 2
870020100100104300000165,,,2,,,,Week 3
870020100100104300000157,,,2,,,,Week 3
870020100100104300000189,,,2,,,,Week 3
870020100100104300000154,,,1,,,,Week 3
870020100100104300000156,,,2,,,,Week 3
870020100100104300000153,,,3,,,,Week 3
870020100100104300000162,,,3,,,,Week 3
870020100100104300000060,,,1,,,,Week 2
870020100200104300000137,,,1,,,,foreign bee
870020100100104300000031,,,1,,,,Week 1
870020100100104300000155,,,1,,,,Week 3
870020100100104300000188,,,3,4,,,Week 3
870020100100104300000004,1,,,,,,Week 1
870020100100104300000075,,2,3,,,,Week 2
870020100100104300000053,,3,2,,,,Week 2
870020100100104300000090,,3,,,,,Week 2
870020100100104300000063,,2,4,,,,Week 2
870020100100104300000024,,2,3,,,,Week 1
870020100100104300000079,,2,,,,,Week 2
870020100100104300000029,,2,4,,,,Week 1
870020100100104300000005,,1,,,,,Week 1
870020100100104300000081,,1,,,,,Week 2
870020100100104300000234,,,,,,551,Week 4
870020100100104300000130,,,,,,572,Week 4
870020100100104300000212,,,,,,572,Week 4
870020100100104300000213,,,,,,52,5Week 4
870020100100104300000108,,,,,,572,Week 4
870020100100104300000082,,1,,,,,Week 2
870020100100104300000055,,1,,,,,Week 2
870020100100104300000145,,,,,12,,Week 4
870020100100104300000208,,,,,11,,Week 4
870020100100104300000137,,,,,32,,Week 4
