Site,Total No. of registers
Morelia Hive 2,950999
Morelia Hive 1,3056

Morelia Hive 2
Day, No. Registers 
2016-07-01,5
2016-07-03,3
2016-07-04,5
2016-07-08,20
2016-07-09,91
2016-07-10,8
2016-07-11,11
2016-07-12,3
2016-07-13,1
2016-07-14,689
2016-07-15,377
2016-07-16,980
2016-07-17,135
2016-07-18,4
2016-07-19,6
2016-07-20,7
2016-07-22,1
2016-07-23,16023
2016-07-24,73807
2016-07-25,83741
2016-07-26,73707
2016-07-27,67496
2016-07-28,15132
2016-07-29,9108
2016-07-30,69867
2016-07-31,75743
2016-08-01,125216
2016-08-02,152995
2016-08-03,54565
2016-08-04,65197
2016-08-05,66056
Morelia Hive 1
Day, No. Registers 
2016-07-02,1
2016-07-03,1
2016-07-08,50
2016-07-09,145
2016-07-10,115
2016-07-11,50
2016-07-12,21
2016-07-13,26
2016-07-14,65
2016-07-15,731
2016-07-16,510
2016-07-17,68
2016-07-18,43
2016-07-19,32
2016-07-20,33
2016-07-21,16
2016-07-22,6
2016-07-23,342
2016-07-24,256
2016-07-25,66
2016-07-26,105
2016-07-27,29
2016-07-28,21
2016-07-29,37
2016-07-30,27
2016-07-31,26
2016-08-01,41
2016-08-02,39
2016-08-03,35
2016-08-04,21
2016-08-05,98

Morelia Hive 2
Week, No. of registers
Week 1,89848
Week 2,394794
Week 3,464029
Week 4,2196
Week 5,124
Week 6,8

Morelia Hive 1
Week, No. of registers
Week 1,1471
Week 2,728
Week 3,310
Week 4,311
Week 5,2
Week 6,234


Morelia Hive 2
Bee,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Installation Date
870020100200104300000168,,,,2,,,Week 4
870020100200104300000116,,,,16,4,,Week 3
870020100200104300000192,,,,1,,,Week 4
870020100200104300000170,,,,121,,,Week 4
870020100200104300000176,,,,9548,,2369155848,Week 4
870020100200104300000197,,,,2,,,Week 4
870020100200104300000031,,,,94,,,Week 1
870020100200104300000032,,,,1,,,Week 1
870020100200104300000080,,,,85,3,,Week 2
870020100200104300000014,,,,1660,,,Week 1
870020100200104300000213,,,,18,5,,Week 4
870020100200104300000246,,,,5,,,Week 4
870020100200104300000136,,,,13,13,,Week 3
870020100200104300000126,,,,25,,,Week 3
870020100200104300000244,,,,2,,,Week 4
870020100200104300000219,,,,3,,,Week 4
870020100200104300000228,,,,7,1,,Week 4
870020100200104300000187,,,,57109,,,Week 4
870020100200104300000204,,,,21,16,,Week 4
870020100200104300000231,,,,18,9,,Week 4
870020100200104300000234,,,,199,,,Week 4
870020100200104300000067,,,,1,,,Week 2
870020100200104300000201,,,,12,,,Week 4
870020100200104300000203,,,,74,6,,Week 4
870020100200104300000208,,,,187,,,Week 4
870020100200104300000167,,,,212,,,Week 4
870020100200104300000177,,,,147,,,Week 4
870020100200104300000160,,,,,,224074117508,Week 4
870020100200104300000243,,,,,,1152263994,Week 4
870020100200104300000046,,,,,,27345,Week 1
870020100200104300000189,,,,,,34059679419418,Week 4
870020100200104300000217,,,,,,39617,Week 4
870020100200104300000151,,,,,106164,167511,Week 4
870020100200104300000054,,,,,43273,,Week 2
870020100200104300000045,,,,,434,,Week 1
870020100200104300000111,,,,,16,,Week 3
870020100200104300000119,,,,1343,,,Week 3
870020100200104300000072,,,203115,,,,Week 2
870020100200104300000125,,,60,,,,Week 3
581DA6D102E2400018C114DC,,,,,,1,foreign bee
224297892000000000000000,,,,,1,,foreign bee
186A286E4CAC37867C5961DC,,,,,1,,foreign bee
870020100200104300000065,,,,,29,,Week 2
870020100200104300000077,,,513,,,,Week 2
