Site,Total No. of registers
Morelia Hive 1,2822
Morelia Hive 2,486970

Morelia Hive 1
Week, No. of registers
Week 1,2
Week 2,310
Week 3,1471
Week 4,728
Week 5,311

Morelia Hive 2
Week, No. of registers
Week 1,8
Week 2,124
Week 3,2196
Week 4,89848
Week 5,394794


Morelia Hive 1
Bee,Week 1,Week 2,Week 3,Week 4,Week 5,Installation Date
870020100100104300000208,,,,32,40,Week 4
870020100100104300000112,,,,5,,Week 4
870020100100104300000108,,,,19,33,Week 4
870020100100104300000068,,60,137,412,,Week 2
870020100100104300000053,,38,6,,,Week 2
870020100100104300000146,,,,7,,Week 4
870020100100104300000023,1,,,,,Week 1
870020100100104300000145,,,,29,1,Week 4
870020100100104300000061,,,1,,,Week 2
870020100100104300000165,,,158,,,Week 3
870020100100104300000005,,1,,,,Week 1
870020100100104300000004,1,,,,,Week 1
870020100100104300000029,,7,8,,,Week 1
870020100100104300000064,,1,,,,Week 2
870020100100104300000162,,,35,,,Week 3
870020100100104300000055,,6,,,,Week 2
870020100100104300000062,,8,,,,Week 2
870020100100104300000095,,29,,,,Week 2
870020100200104300000137,,,2,,,foreign bee
870020100100104300000223,,,,11,,Week 4
870020100100104300000082,,41,,,,Week 2
870020100100104300000188,,,18,28,,Week 3
870020100100104300000189,,,320,,,Week 3
870020100100104300000063,,24,24,,,Week 2
870020100100104300000077,,4,76,85,25,Week 2
870020100100104300000130,,,,6,37,Week 4
870020100100104300000137,,,,4,72,Week 4
870020100100104300000081,,1,,,,Week 2
870020100100104300000056,,2,,,,Week 2
870020100100104300000071,,6,,,,Week 2
870020100100104300000212,,,,11,68,Week 4
870020100100104300000213,,,,2,17,Week 4
870020100100104300000220,,,,5,,Week 4
870020100100104300000079,,19,,,,Week 2
870020100100104300000155,,,24,,,Week 3
870020100100104300000154,,,1,,,Week 3
870020100100104300000075,,34,33,,,Week 2
870020100100104300000156,,,281,,,Week 3
870020100100104300000203,,,,5,,Week 4
870020100100104300000153,,,22,,,Week 3
870020100100104300000215,,,,3,,Week 4
870020100100104300000024,,14,9,,,Week 1
870020100100104300000157,,,313,,,Week 3
870020100100104300000234,,,,3,17,Week 4
870020100100104300000235,,,,61,,Week 4
870020100100104300000031,,,1,,,Week 1
870020100100104300000090,,14,,,,Week 2
870020100100104300000194,,,1,,,Week 3
870020100100104300000093,,1,,,,Week 2
870020100100104300000060,,,1,,,Week 2
870020100100104300000250,,,,,1,Week 4
Morelia Hive 2
Bee,Week 1,Week 2,Week 3,Week 4,Week 5,Installation Date
870020100200104300000231,,,,18,9,Week 4
870020100200104300000119,,,43,13,,Week 3
870020100200104300000234,,,,199,,Week 4
870020100200104300000036,3,5,,,,Week 1
870020100200104300000116,,,,16,4,Week 3
870020100200104300000204,,,,21,16,Week 4
870020100200104300000114,,,,1476,,Week 3
870020100200104300000032,,,,1,,Week 1
870020100200104300000192,,,,1,,Week 4
870020100200104300000128,,,,20,,Week 3
870020100200104300000197,,,,2,,Week 4
224297892000000000000000,,,,,1,foreign bee
870020100200104300000213,,,,18,5,Week 4
870020100100104300000062,,2,,,,foreign bee
870020100200104300000177,,,,147,,Week 4
870020100100104300000071,,71,,,,foreign bee
870020100200104300000178,,,,49,,Week 4
870020100200104300000136,,,,13,13,Week 3
870020100200104300000072,,15,2031,,,Week 2
870020100200104300000074,,1,,,,Week 2
870020100200104300000077,,13,5,,,Week 2
870020100200104300000010,2,,,,,Week 1
870020100200104300000170,,,,121,,Week 4
870020100200104300000145,,,47,,,Week 3
186A286E4CAC37867C5961DC,,,,,1,foreign bee
870020100200104300000176,,,,9548,55848,Week 4
870020100200104300000054,,,,,43273,Week 2
870020100200104300000222,,,,1723,,Week 4
870020100200104300000223,,,,5,,Week 4
870020100200104300000203,,,,74,6,Week 4
870020100200104300000201,,,,12,,Week 4
870020100200104300000228,,,,7,1,Week 4
870020100200104300000031,,,,94,,Week 1
870020100200104300000151,,,,7511,106164,Week 4
870020100200104300000208,,,,187,,Week 4
870020100200104300000053,,15,,,,Week 2
870020100200104300000187,,,,57109,,Week 4
870020100200104300000246,,,,5,,Week 4
870020100200104300000244,,,,2,,Week 4
870020100200104300000189,,,,9418,67941,Week 4
870020100200104300000083,,2,,,,Week 2
870020100200104300000219,,,,3,,Week 4
870020100200104300000065,,,,9,2,Week 2
870020100200104300000014,,,,1660,,Week 1
870020100200104300000243,,,,,3994,Week 4
870020100200104300000167,,,,212,,Week 4
870020100200104300000126,,,,25,,Week 3
870020100200104300000125,,,60,,,Week 3
870020100200104300000168,,,,2,,Week 4
870020100200104300000080,,,,85,3,Week 2
870020100200104300000002,3,,,,,Week 1
870020100200104300000066,,,2,,,Week 2
870020100200104300000067,,,,1,,Week 2
870020100200104300000160,,,,,117508,Week 4
870020100200104300000111,,,,6,1,Week 3
870020100200104300000045,,,,34,4,Week 1
870020100200104300000129,,,8,,,Week 3
830020100200104100000087,,,,1,,foreign bee
